mktrf,CH4_VMG,CH4_SMB,PMO,Year,Month
-.025,.0133,-.0066999998,.0049999999,2013,4
.0779,-.0383,.061000001,-.013,2013,5
-.1346,.035500001,-.022700001,-.0031000001,2013,6
.0265,-.0296,.035300002,-.036499999,2013,7
.049899999,.0097000003,.037799999,.028000001,2013,8
.0425,-.028899999,-.0041999999,-.0341,2013,9
-.0265,.054699998,.0088999998,.024900001,2013,10
.0418,-.027899999,.042800002,-.0044999998,2013,11
-.0458,.034000002,.0131,.0112,2013,12
-.023,-.048300002,.042199999,-.0132,2014,1
.0052999998,-.0115,.043000001,.028899999,2014,2
-.026900001,.049199998,.0086000003,.063100003,2014,3
-.0109,.019099999,-.0164,.0029,2014,4
.0106,-.032699998,.017000001,.021500001,2014,5
.021600001,-.0219,.028899999,.0086000003,2014,6
.077100001,.0188,.0027000001,.021500001,2014,7
.0119,-.0298,.0305,.031300001,2014,8
.069600001,-.033199999,.057300001,-.024499999,2014,9
.0154,.0264,.00030000001,-.0088999998,2014,10
.088299997,.047600001,-.028899999,-.037,2014,11
.1525,.1517,-.17200001,-.20190001,2014,12
.0044999998,-.024700001,.0515,.1134,2015,1
.043099999,-.0306,.0176,.0307,2015,2
.14920001,-.044599999,.087800004,.0106,2015,3
.1601,-.0091000004,-.0027999999,.0148,2015,4
.069899999,-.1028,.1841,.1275,2015,5
-.081200004,.0876,-.0372,.0074999998,2015,6
-.1461,.067100003,-.048799999,.040199999,2015,7
-.1381,.0198,.0015,.0080000004,2015,8
-.043099999,.022500001,.035399999,.0024999999,2015,9
.14390001,-.059500001,.0735,-.085699998,2015,10
.032400001,-.00039999999,.079000004,-.035,2015,11
.0317,.042100001,.038199998,.037099998,2015,12
-.2509,.059900001,-.048099998,.0792,2016,1
-.022,.0082999999,-.00039999999,.017100001,2016,2
.1452,-.00030000001,.056499999,-.070500001,2016,3
-.027100001,.0102,.018100001,.033,2016,4
-.0011,.015799999,-.0102,-.0041,2016,5
.0221,-.0082999999,.043200001,-.043699998,2016,6
.0115,.059599999,-.015900001,.086099997,2016,7
.037099998,-.0087000001,.0088999998,.021199999,2016,8
-.0254,.0208,.0106,.0011,2016,9
.024800001,-.0076000001,.0153,.0020999999,2016,10
.036400001,.0128,-.017899999,-.0052,2016,11
-.056499999,.0033,-.0014,-.0094999997,2016,12
.0070000002,.0285,-.033399999,-.027799999,2017,1
.028200001,.0034,.0099999998,.0185,2017,2
-.0083999997,.033599999,-.0101,-.0093,2017,3
-.022700001,.0469,-.041200001,-.019200001,2017,4
-.019099999,.0568,-.0579,-.0306,2017,5
.0414,.0266,-.0077999998,.023700001,2017,6
.024499999,.044799998,-.020300001,.0083999997,2017,7
.024800001,-.0228,-.0015,.018200001,2017,8
.0062000002,-.0077999998,.011,.00060000003,2017,9
.0135,.038199998,-.044,.046300001,2017,10
-.029300001,.037799999,-.038800001,-.0048000002,2017,11
-.0012000001,.0229,-.0178,-.0126,2017,12
.036600001,.066699997,-.067599997,-.016899999,2018,1
-.051899999,.0019,.00030000001,.0127,2018,2
-.0141,-.066600002,.048,.026900001,2018,3
-.0328,-.00039999999,-.0121,.0046000001,2018,4
.0027000001,.0449,-.0177,.020300001,2018,5
-.078900002,.037099998,-.034600001,-.0040000002,2018,6
.0089999996,.036600001,-.0089999996,.040800001,2018,7
-.058600001,.0071,-.0253,.0243,2018,8
.0229,.0309,-.032400001,-.0082,2018,9
-.089400001,.0255,-.0147,.017999999,2018,10
.0086000003,-.031599998,.0506,.022,2018,11
-.0416,.019400001,-.0024999999,.0244,2018,12
.0288,.063500002,-.051100001,.032600001,2019,1
.1574,-.0955,.056899998,-.0722,2019,2
.064400002,-.028100001,.046599999,.0051000002,2019,3
-.0133,.0306,-.024499999,.026000001,2019,4
-.063600004,.0035000001,.016899999,.037099998,2019,5
.031500001,.039799999,-.037999999,.0086000003,2019,6
-.0017,.0071,-.0308,.0118,2019,7
-.0077,-.0363,-.0074,-.033399999,2019,8
.0060999999,.0113,.0052999998,.0049000001,2019,9
.0111,.0135,-.021199999,.0068999999,2019,10
-.017999999,.018300001,-.0106,-.003,2019,11
.068599999,.0020999999,.0099999998,-.0041,2019,12
-.0070000002,-.0306,.0081000002,-.052700002,2020,1
-.0088999998,-.0372,.0112,-.0638,2020,2
-.062700003,.050799999,.0239,.076300003,2020,3
.050700001,.0038000001,-.037700001,-.0057000001,2020,4
.003,.0012000001,.0167,.00060000003,2020,5
.0801,.0103,-.017000001,-.020300001,2020,6
.126,.0076000001,.001,-.0207,2020,7
.0199,.017000001,.021400001,.0128,2020,8
-.0579,.011,-.021400001,-.0108,2020,9
.0086000003,.0124,-.0178,-.0352,2020,10
.036499999,.046300001,-.017999999,.0199,2020,11
.029899999,-.047200002,-.079899997,-.0276,2020,12
.0034,.033599999,-.090700001,-.0217,2021,1
-.0044,.064300001,.045499999,.0167,2021,2
-.029300001,.048700001,.0535,.0115,2021,3
.0177,-.041700002,-.0274,.029300001,2021,4
.050500002,-.033500001,.0073000002,-.014,2021,5
.0078999996,-.046,.022399999,.0139,2021,6
-.041000001,-.035399999,.049600001,-.0396,2021,7
.0285,.068000004,.0392,-.0044,2021,8
-.0035999999,.049400002,-.017000001,.050299998,2021,9
-.0027000001,-.043299999,-.025699999,.063000001,2021,10
.0196,-.037999999,.1149,.048500001,2021,11
.0101,.050700001,.031099999,.022399999,2021,12
