Stkcd,Trddt,INST,Trdmnt,Year,Month
9,2011-03-31,35.9879,2011-03,2011,3
9,2011-06-30,44.714298,2011-06,2011,6
9,2011-09-30,44.322498,2011-09,2011,9
9,2011-12-31,47.973099,2011-12,2011,12
9,2012-03-31,26.811501,2012-03,2012,3
9,2012-06-30,35.812401,2012-06,2012,6
9,2012-09-30,27.861,2012-09,2012,9
9,2012-12-31,36.363201,2012-12,2012,12
9,2013-03-31,29.947001,2013-03,2013,3
9,2013-06-30,33.592899,2013-06,2013,6
9,2013-09-30,27.410999,2013-09,2013,9
9,2013-12-31,33.100201,2013-12,2013,12
9,2014-03-31,27.0644,2014-03,2014,3
9,2014-09-30,24.9053,2014-09,2014,9
9,2014-12-31,28.932501,2014-12,2014,12
9,2015-03-31,23.216801,2015-03,2015,3
9,2015-06-30,29.059299,2015-06,2015,6
9,2015-09-30,26.2026,2015-09,2015,9
9,2015-12-31,24.328501,2015-12,2015,12
9,2016-03-31,21.8246,2016-03,2016,3
9,2016-06-30,20.876699,2016-06,2016,6
9,2016-09-30,18.6084,2016-09,2016,9
9,2016-12-31,20.407101,2016-12,2016,12
9,2017-03-31,19.0196,2017-03,2017,3
9,2017-06-30,20.6189,2017-06,2017,6
9,2017-09-30,19.445101,2017-09,2017,9
9,2017-12-31,20.826599,2017-12,2017,12
9,2018-03-31,19.4657,2018-03,2018,3
9,2018-06-30,21.053699,2018-06,2018,6
9,2018-09-30,19.893,2018-09,2018,9
9,2018-12-31,21.9795,2018-12,2018,12
9,2019-03-31,20.5023,2019-03,2019,3
9,2019-06-30,22.461599,2019-06,2019,6
9,2019-09-30,20.049999,2019-09,2019,9
9,2019-12-31,22.980499,2019-12,2019,12
10,2012-12-31,52.509998,2012-12,2012,12
10,2014-03-31,52.740002,2014-03,2014,3
10,2014-06-30,52.740002,2014-06,2014,6
10,2014-09-30,49.43,2014-09,2014,9
10,2014-12-31,48.630001,2014-12,2014,12
10,2015-12-31,46.229401,2015-12,2015,12
10,2016-03-31,44.132999,2016-03,2016,3
10,2016-06-30,43.4067,2016-06,2016,6
10,2016-09-30,42.506199,2016-09,2016,9
10,2016-12-31,43.446602,2016-12,2016,12
10,2017-12-31,39.8568,2017-12,2017,12
10,2018-09-30,43.237999,2018-09,2018,9
11,2009-03-31,.208,2009-03,2009,3
11,2009-06-30,71.440002,2009-06,2009,6
11,2009-09-30,.208,2009-09,2009,9
11,2009-12-31,65.194,2009-12,2009,12
11,2010-03-31,.354,2010-03,2010,3
11,2010-06-30,65.081001,2010-06,2010,6
11,2010-09-30,.53899997,2010-09,2010,9
11,2010-12-31,65.274002,2010-12,2010,12
11,2011-03-31,.34299999,2011-03,2011,3
11,2011-06-30,66.2677,2011-06,2011,6
11,2011-09-30,.55299997,2011-09,2011,9
11,2011-12-31,65.454002,2011-12,2011,12
11,2012-03-31,.68800002,2012-03,2012,3
11,2012-06-30,64.768402,2012-06,2012,6
11,2012-09-30,1.3886,2012-09,2012,9
11,2012-12-31,65.232697,2012-12,2012,12
11,2013-03-31,65.32,2013-03,2013,3
11,2013-06-30,65.120399,2013-06,2013,6
11,2013-09-30,65.001999,2013-09,2013,9
11,2013-12-31,64.682701,2013-12,2013,12
11,2014-03-31,64.731003,2014-03,2014,3
11,2014-06-30,64.650002,2014-06,2014,6
11,2014-09-30,64.25,2014-09,2014,9
11,2014-12-31,64.529503,2014-12,2014,12
11,2015-03-31,64.829002,2015-03,2015,3
11,2015-06-30,65.844704,2015-06,2015,6
11,2015-09-30,64.410004,2015-09,2015,9
11,2015-12-31,64.308098,2015-12,2015,12
11,2016-03-31,64.457901,2016-03,2016,3
11,2016-06-30,64.353699,2016-06,2016,6
11,2016-09-30,64.459,2016-09,2016,9
11,2016-12-31,64.3713,2016-12,2016,12
11,2017-03-31,64.3405,2017-03,2017,3
11,2017-06-30,64.6064,2017-06,2017,6
11,2017-09-30,64.223198,2017-09,2017,9
11,2017-12-31,64.371101,2017-12,2017,12
11,2018-03-31,64.226997,2018-03,2018,3
11,2018-06-30,64.411499,2018-06,2018,6
11,2018-09-30,64.294998,2018-09,2018,9
11,2018-12-31,64.286201,2018-12,2018,12
11,2019-03-31,64.440002,2019-03,2019,3
11,2019-06-30,65.748001,2019-06,2019,6
11,2019-09-30,64.43,2019-09,2019,9
11,2019-12-31,64.274498,2019-12,2019,12
12,2009-03-31,26.675699,2009-03,2009,3
12,2009-06-30,38.429901,2009-06,2009,6
12,2009-09-30,20.658701,2009-09,2009,9
12,2009-12-31,54.114399,2009-12,2009,12
12,2010-03-31,28.8095,2010-03,2010,3
12,2010-06-30,45.555901,2010-06,2010,6
12,2010-09-30,23.811701,2010-09,2010,9
12,2010-12-31,46.528801,2010-12,2010,12
12,2011-03-31,31.7288,2011-03,2011,3
12,2011-06-30,34.305698,2011-06,2011,6
12,2011-09-30,27.627501,2011-09,2011,9
12,2011-12-31,21.1805,2011-12,2011,12
12,2012-03-31,14.775,2012-03,2012,3
12,2012-06-30,27.611099,2012-06,2012,6
12,2012-09-30,14.7008,2012-09,2012,9
12,2012-12-31,26.8433,2012-12,2012,12
12,2013-03-31,15.1808,2013-03,2013,3
12,2013-06-30,32.647598,2013-06,2013,6
12,2013-09-30,17.832199,2013-09,2013,9
12,2013-12-31,22.053499,2013-12,2013,12
12,2014-03-31,14.5643,2014-03,2014,3
12,2014-06-30,17.899401,2014-06,2014,6
12,2014-09-30,13.185,2014-09,2014,9
12,2014-12-31,15.6545,2014-12,2014,12
12,2015-03-31,17.1754,2015-03,2015,3
12,2015-06-30,24.8241,2015-06,2015,6
12,2015-09-30,29.367599,2015-09,2015,9
12,2015-12-31,31.766199,2015-12,2015,12
12,2016-03-31,34.5909,2016-03,2016,3
12,2016-06-30,38.085098,2016-06,2016,6
12,2016-09-30,35.709999,2016-09,2016,9
12,2016-12-31,32.8265,2016-12,2016,12
12,2017-03-31,31.879999,2017-03,2017,3
12,2017-06-30,32.599998,2017-06,2017,6
12,2017-09-30,31.372299,2017-09,2017,9
12,2017-12-31,29.777399,2017-12,2017,12
12,2018-03-31,29.180401,2018-03,2018,3
12,2018-06-30,29.8284,2018-06,2018,6
12,2018-09-30,29.4079,2018-09,2018,9
12,2018-12-31,30.776501,2018-12,2018,12
12,2019-03-31,30.219999,2019-03,2019,3
12,2019-06-30,31.6362,2019-06,2019,6
12,2019-09-30,30.68,2019-09,2019,9
12,2019-12-31,32.2379,2019-12,2019,12
14,2009-03-31,16.811001,2009-03,2009,3
14,2009-06-30,95.946602,2009-06,2009,6
14,2009-09-30,52.007999,2009-09,2009,9
14,2009-12-31,90.495399,2009-12,2009,12
16,2009-03-31,24.235399,2009-03,2009,3
16,2009-06-30,34.291599,2009-06,2009,6
16,2009-09-30,16.488001,2009-09,2009,9
16,2009-12-31,54.332699,2009-12,2009,12
16,2010-03-31,22.032101,2010-03,2010,3
16,2010-06-30,37.594101,2010-06,2010,6
16,2010-09-30,14.807,2010-09,2010,9
16,2010-12-31,29.7659,2010-12,2010,12
16,2011-03-31,11.564,2011-03,2011,3
16,2011-06-30,34.558601,2011-06,2011,6
16,2011-09-30,12.254,2011-09,2011,9
16,2011-12-31,29.9517,2011-12,2011,12
16,2012-03-31,11.433,2012-03,2012,3
16,2012-06-30,34.355,2012-06,2012,6
16,2012-09-30,10.664,2012-09,2012,9
16,2012-12-31,27.1012,2012-12,2012,12
16,2013-03-31,27.049999,2013-03,2013,3
16,2013-06-30,27.183399,2013-06,2013,6
16,2013-09-30,26.74,2013-09,2013,9
16,2013-12-31,26.896299,2013-12,2013,12
16,2014-03-31,29.440001,2014-03,2014,3
16,2014-06-30,29.1166,2014-06,2014,6
16,2014-09-30,32.240002,2014-09,2014,9
16,2014-12-31,35.859798,2014-12,2014,12
16,2015-03-31,38.934601,2015-03,2015,3
16,2015-06-30,42.829899,2015-06,2015,6
16,2015-12-31,39.874001,2015-12,2015,12
16,2016-03-31,39.419998,2016-03,2016,3
16,2016-06-30,39.235901,2016-06,2016,6
16,2016-09-30,38.580002,2016-09,2016,9
16,2016-12-31,39.563999,2016-12,2016,12
16,2017-03-31,39.212502,2017-03,2017,3
16,2017-06-30,39.582001,2017-06,2017,6
16,2017-09-30,38.700001,2017-09,2017,9
16,2017-12-31,37.858898,2017-12,2017,12
16,2018-03-31,37.994701,2018-03,2018,3
