"Symbol","EndDate","InsInvestorProp"
"000010","2013-09-30","52.4300"
"000010","2013-12-31","53.4750"
"000010","2014-03-31","52.7400"
"000010","2014-06-30","52.7400"
"000010","2014-09-30","49.4300"
"000010","2014-12-31","48.6300"
"000010","2015-03-31","48.6300"
"000010","2015-06-30","47.8700"
"000010","2015-09-30","46.5700"
"000010","2015-12-31","46.2294"
"000010","2016-03-31","44.1330"
"000010","2016-06-30","43.4067"
"000010","2016-09-30","42.5062"
"000010","2016-12-31","43.4466"
"000010","2017-03-31","39.9771"
"000010","2017-06-30","38.7141"
"000010","2017-09-30","40.0640"
"000010","2017-12-31","39.8568"
"000010","2018-03-31","37.8520"
"000010","2018-06-30","37.9349"
"000010","2018-09-30","43.2380"
"000010","2018-12-31","42.6086"
"000010","2019-03-31","43.9110"
"000010","2019-06-30","42.2156"
"000010","2019-09-30","42.1570"
"000010","2019-12-31","45.1230"
"000011","2009-03-31","0.2080"
"000011","2009-06-30","71.4400"
"000011","2009-09-30","0.2080"
"000011","2009-12-31","65.1940"
"000011","2010-03-31","0.3540"
"000011","2010-06-30","65.0810"
"000011","2010-09-30","0.5390"
"000011","2010-12-31","65.2740"
"000011","2011-03-31","0.3430"
"000011","2011-06-30","66.2677"
"000011","2011-09-30","0.5530"
"000011","2011-12-31","65.4540"
"000011","2012-03-31","0.6880"
"000011","2012-06-30","64.7684"
"000011","2012-09-30","1.3886"
"000011","2012-12-31","65.2327"
"000011","2013-03-31","65.3200"
"000011","2013-06-30","65.1204"
"000011","2013-09-30","65.0020"
"000011","2013-12-31","64.6827"
"000011","2014-03-31","64.7310"
"000011","2014-06-30","64.6500"
"000011","2014-09-30","64.2500"
"000011","2014-12-31","64.5295"
"000011","2015-03-31","64.8290"
"000011","2015-06-30","65.8447"
"000011","2015-09-30","64.4100"
"000011","2015-12-31","64.3081"
"000011","2016-03-31","64.4579"
"000011","2016-06-30","64.3537"
"000011","2016-09-30","64.4590"
"000011","2016-12-31","64.3713"
"000011","2017-03-31","64.3405"
"000011","2017-06-30","64.6064"
"000011","2017-09-30","64.2232"
"000011","2017-12-31","64.3711"
"000011","2018-03-31","64.2270"
"000011","2018-06-30","64.4115"
"000011","2018-09-30","64.2950"
"000011","2018-12-31","64.2862"
"000011","2019-03-31","64.4400"
"000011","2019-06-30","65.7480"
"000011","2019-09-30","64.4300"
"000011","2019-12-31","64.2745"
"000012","2009-03-31","26.6757"
"000012","2009-06-30","38.4299"
"000012","2009-09-30","20.6587"
"000012","2009-12-31","54.1144"
"000012","2010-03-31","28.8095"
"000012","2010-06-30","45.5559"
